Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
200087,41.0625,27.8125,13.1875,0.1801758,0.2583008,1.13623,0.02294922,0.05615234,-0.2558594
200089,33.25,47.125,10.375,0.3203125,0.4057617,0.9707031,0.02294922,0.05615234,-0.2558594
200090,21.25,72.125,6.0625,0.6005859,0.4248047,0.8896484,0.02294922,0.05322266,-0.2558594
200092,6.125,111.375,0.375,0.9238281,0.4091797,0.9047852,0.02685547,0.0546875,-0.2573242
200093,-5.75,159.5,-8.4375,1.266602,0.3393555,0.8818359,0.02685547,0.0546875,-0.2573242
200095,-6.5,224.75,-20.25,1.554688,0.08349609,1.20166,0.02929688,0.05615234,-0.2548828
200096,8,294.25,-28.3125,1.286133,-0.05175781,1.552734,0.03710938,0.0546875,-0.2548828
200098,33.375,365.6875,-36.875,1.441895,0.1142578,2.003906,0.03710938,0.0546875,-0.2548828
200099,91,473.125,-82.25,2.8125,-0.4980469,2.897949,0.04638672,0.0546875,-0.2558594
200101,149.9375,625.375,-104.75,2.32959,-0.2148438,3.680664,0.06054688,0.0546875,-0.2519531
200102,175.8125,718.25,-138.1875,3.373047,0.6113281,2.801758,0.06054688,0.0546875,-0.2519531
200104,235.875,880,-176,2.652832,0.4365234,4.448242,0.07617188,0.04785156,-0.2490234
200105,324.875,930,-203.8125,2.189453,-1.200684,3.557617,0.09814453,0.04248047,-0.2421875
200107,431.9375,980.6875,-215.0625,1.675293,-1.270508,4.467285,0.09814453,0.04248047,-0.2421875
200108,491.6875,931.375,-204.375,5.530273,-0.300293,7.401367,0.1240234,0.03759766,-0.2329102
200110,503.1875,915.8125,-211.875,6.979004,0.7119141,7.759766,0.1420898,0.02539063,-0.2231445
200111,467.8125,787.0625,-185.625,5.713379,1.313477,7.235352,0.1420898,0.02539063,-0.2231445
200113,350.1875,521.375,-139.875,-0.7421875,3.199707,7.24707,0.1616211,0.01464844,-0.2109375
200114,191.1875,130.875,-69.9375,-2.961426,4.196777,6.387207,0.1723633,0.01220703,-0.2026367
200116,12.9375,-171.125,-17.5625,-0.956543,3.995117,5.523926,0.1723633,0.01220703,-0.2026367
200117,-107.125,-279.5,12.1875,2.680176,2.411621,3.464844,0.1723633,0.01220703,-0.2041016
200119,-133.3125,-242.75,27.5,5.164551,0.6113281,1.64502,0.168457,0.01074219,-0.206543
200120,-121.0625,-125.5,20.375,5.79541,1.092285,0.8085938,0.168457,0.01074219,-0.206543
200122,-91.75,-24.8125,13.875,5.070801,-0.9833984,0.4077148,0.1630859,0.01611328,-0.2080078
200123,-74.0625,32.5625,-7.8125,3.606934,-0.5449219,0.2265625,0.1606445,0.02001953,-0.2094727
200125,-53.75,41.3125,-22.25,2.422852,-0.4980469,0.4848633,0.1606445,0.02001953,-0.2094727
200126,-31.625,8.75,-36.5625,1.652344,-0.3623047,0.7543945,0.1606445,0.01855469,-0.2094727
200128,-11.75,-38.25,-46.0625,1.387207,-0.2265625,1.070801,0.1616211,0.01855469,-0.2094727
200129,0.5625,-93.3125,-49.8125,1.578125,0.02539063,1.355957,0.1616211,0.01855469,-0.2094727
200131,3.5625,-129.9375,-48.6875,1.901367,0.2270508,1.494629,0.1591797,0.02294922,-0.2094727
200132,-2.6875,-150.25,-42.4375,2.29834,0.4248047,1.564453,0.1567383,0.02539063,-0.2109375
200134,-16.5,-157.8125,-33.6875,2.442383,0.5683594,1.548828,0.1567383,0.02539063,-0.2109375
200135,-35.5,-164.5625,-22.875,2.310059,0.6538086,1.463867,0.1538086,0.02001953,-0.2133789
200137,-59.1875,-176.25,-10.5625,2.002441,0.6811523,1.317383,0.1489258,0.02294922,-0.2177734
200138,-83.1875,-192.5,0.875,1.69873,0.6499023,1.174805,0.1489258,0.02294922,-0.2177734
200140,-105.1875,-209.3125,10,1.507813,0.5493164,1.066895,0.1450195,0.02685547,-0.2192383
200141,-123.0625,-223.5,14.6875,1.418457,0.394043,0.9589844,0.1396484,0.02539063,-0.2246094
200143,-132.8125,-232.375,14.875,1.371582,0.2114258,0.8701172,0.1396484,0.02539063,-0.2246094
200144,-133.75,-237.5625,9.875,1.313477,0.04833984,0.8203125,0.1347656,0.03076172,-0.2260742
200146,-126.4375,-240.9375,2,1.243164,-0.06347656,0.8276367,0.1269531,0.03613281,-0.2270508
200147,-113.3125,-243.6875,-7.3125,1.169434,-0.09472656,0.8701172,0.1269531,0.03613281,-0.2270508
200149,-96.5625,-247.5625,-17.125,1.103027,-0.06738281,0.9858398,0.121582,0.03857422,-0.2314453
200150,-80,-252.4375,-24,1.017578,0.01367188,1.13623,0.1162109,0.03857422,-0.2329102
200152,-65.625,-259.3125,-28.25,0.9394531,0.1611328,1.302246,0.1162109,0.03857422,-0.2329102
200153,-55.4375,-267.1875,-29.875,0.8422852,0.3242188,1.459961,0.1098633,0.04248047,-0.2368164
200155,-49.0625,-276.4375,-27.8125,0.7255859,0.4755859,1.587402,0.1035156,0.046875,-0.2382813
200156,-46.4375,-288,-22.75,0.565918,0.5957031,1.641113,0.1035156,0.046875,-0.2382813
200158,-46.25,-300.9375,-15.5625,0.4331055,0.6850586,1.679688,0.09423828,0.04541016,-0.2436523
200159,-46.9375,-313.75,-6.625,0.328125,0.7080078,1.683594,0.08789063,0.046875,-0.2436523
200161,-47.75,-325.125,2.1875,0.2270508,0.7197266,1.629883,0.08789063,0.046875,-0.2436523
200162,-48.4375,-336.1875,10.1875,0.1293945,0.7041016,1.575684,0.07861328,0.046875,-0.246582
200164,-47.4375,-344.8125,16.75,0.06347656,0.6230469,1.537109,0.07080078,0.04785156,-0.2490234
200165,-43.625,-352.25,22.25,0.02832031,0.5644531,1.518066,0.07080078,0.04785156,-0.2490234
200167,-37.1875,-358.0625,25.0625,0.004882813,0.4716797,1.529297,0.06201172,0.05078125,-0.2504883
200168,-29.5,-363.0625,25.5,0.0009765625,0.4018555,1.533203,0.05273438,0.05322266,-0.2519531
200170,-20.375,-366.75,24.9375,-0.006347656,0.3354492,1.529297,0.05273438,0.05322266,-0.2519531
200171,-10.25,-368.75,23.9375,0.0009765625,0.3164063,1.525879,0.04003906,0.0546875,-0.2548828
200173,0.25,-368.6875,23.0625,-0.002441406,0.3393555,1.564453,0.03076172,0.0546875,-0.2558594
200174,9.9375,-367.25,23.5,-0.02978516,0.3862305,1.614258,0.03076172,0.0546875,-0.2558594
200176,18.125,-365.625,25.6875,-0.05664063,0.4482422,1.707031,0.02050781,0.0546875,-0.2587891
200177,23.6875,-362.9375,29.625,-0.07617188,0.5336914,1.791504,0.01025391,0.05615234,-0.2558594
200179,26.375,-360.5625,34.9375,-0.1347656,0.5957031,1.899414,0.01025391,0.05615234,-0.2558594
200180,27,-359.625,41.25,-0.2241211,0.6655273,1.988281,0.0009765625,0.05224609,-0.2573242
200182,26.4375,-360.1875,48.6875,-0.3022461,0.7080078,2.04248,-0.008789063,0.0546875,-0.2573242
200185,25.3125,-362.1875,57.5,-0.3798828,0.7314453,2.077148,-0.008789063,0.0546875,-0.2573242
200187,23.5,-366,66.25,-0.4697266,0.7197266,2.092285,-0.01806641,0.05224609,-0.2602539
200188,22.6875,-369.9375,74.4375,-0.4814453,0.6928711,2.104004,-0.02832031,0.05224609,-0.2548828
200190,21.6875,-372.625,81.25,-0.4345703,0.6499023,2.134766,-0.02832031,0.05224609,-0.2548828
200191,21.375,-371.4375,86.625,-0.3295898,0.5996094,2.192871,-0.03857422,0.04931641,-0.2573242
200193,22.1875,-367.4375,90.1875,-0.2202148,0.5839844,2.312012,-0.04882813,0.05224609,-0.253418
200194,22.625,-361.5625,93.25,-0.1464844,0.6113281,2.493164,-0.04882813,0.05224609,-0.253418
200196,22.5,-357.0625,97.1875,-0.1386719,0.6772461,2.70166,-0.05810547,0.05078125,-0.2519531
200197,21.8125,-355.4375,101.75,-0.2045898,0.7509766,2.894531,-0.06738281,0.05078125,-0.2490234
200199,21.5625,-357.5,108,-0.3295898,0.7895508,3.041016,-0.06738281,0.05078125,-0.2490234
200200,21.1875,-363.125,115.1875,-0.4267578,0.8208008,3.102539,-0.07763672,0.05078125,-0.2480469
200202,21.5625,-368.75,123.125,-0.5356445,0.8286133,3.129395,-0.08789063,0.05224609,-0.2436523
200203,22.375,-372.625,131.1875,-0.671875,0.8129883,3.083008,-0.08789063,0.05224609,-0.2436523
200205,23.25,-374.6875,138.9375,-0.7695313,0.7895508,3.021484,-0.09423828,0.05224609,-0.2412109
200206,25.25,-373.25,146.375,-0.862793,0.7392578,2.959961,-0.1049805,0.05078125,-0.2353516
200208,27.3125,-369.625,153.5625,-0.9716797,0.6967773,2.925293,-0.1049805,0.05078125,-0.2353516
200209,28.625,-365.5,159.875,-1.104492,0.6655273,2.921387,-0.112793,0.0546875,-0.2314453
200211,29.25,-358.3125,166.1875,-1.268066,0.6616211,2.848145,-0.1230469,0.05615234,-0.2270508
200212,27.4375,-350.5625,172.5625,-1.404297,0.6655273,2.786621,-0.1230469,0.05615234,-0.2270508
200214,22.25,-342.4375,178.0625,-1.614258,0.7158203,2.608887,-0.1308594,0.05615234,-0.2260742
200215,10.6875,-329.875,181.4375,-1.641602,0.875,2.45459,-0.137207,0.06005859,-0.2192383
200217,-6.375,-313.875,183.4375,-1.805176,0.9604492,2.258301,-0.137207,0.06005859,-0.2192383
200218,-25.25,-293.6875,182.75,-1.917969,1.03418,2.146484,-0.1435547,0.0625,-0.2148438
200220,-41.1875,-273.8125,178.0625,-2.140137,1.03418,1.976563,-0.1489258,0.06396484,-0.2094727
200221,-52.25,-256.3125,168.5,-2.385254,0.940918,1.822754,-0.1489258,0.06396484,-0.2094727
200223,-56.4375,-240.8125,151.8125,-2.653809,0.7895508,1.668457,-0.1538086,0.06787109,-0.2026367
200224,-51.4375,-229.5625,129.125,-2.899414,0.5722656,1.521973,-0.1591797,0.07177734,-0.2011719
200226,-35.6875,-223.1875,101.625,-3.15625,0.3007813,1.429199,-0.1591797,0.07177734,-0.2011719
200227,-8.5,-221.75,69.625,-3.343262,0.01757813,1.402344,-0.1645508,0.07617188,-0.1943359
200229,25.375,-222.0625,36.25,-3.424805,-0.21875,1.479492,-0.1669922,0.07470703,-0.1943359
200230,61.875,-218.8125,2.625,-3.467773,-0.3583984,1.518066,-0.1669922,0.07470703,-0.1943359
200232,96.0625,-210.375,-28.9375,-3.495117,-0.3466797,1.518066,-0.1733398,0.07470703,-0.1875
200233,119.6875,-194.875,-52.6875,-3.56543,-0.2382813,1.467773,-0.1772461,0.07324219,-0.1845703
200235,131.3125,-175.25,-66.9375,-3.751953,0.005859375,1.321289,-0.1772461,0.07324219,-0.1845703
200236,127.5625,-153.0625,-69.1875,-3.946777,0.3046875,1.15918,-0.1811523,0.06933594,-0.1821289
200238,111.0625,-126.4375,-62.1875,-4.12207,0.5566406,0.9897461,-0.1850586,0.06542969,-0.1791992
200239,84.75,-97.75,-45.8125,-4.297363,0.7236328,0.7504883,-0.1850586,0.06542969,-0.1791992
200241,48.125,-70.0625,-28,-4.534668,0.921875,0.4887695,-0.1865234,0.06152344,-0.1791992
200242,7.1875,-43.1875,-8.75,-4.694336,0.8208008,0.2573242,-0.1879883,0.06152344,-0.1777344
200244,-30.875,-17,5.4375,-4.717773,0.6113281,0.02978516,-0.1879883,0.06152344,-0.1777344
200245,-57.9375,8.5,10.6875,-4.608887,0.2773438,-0.06591797,-0.1879883,0.06005859,-0.1762695
200247,-71.3125,35.375,6.5625,-4.378906,-0.07519531,-0.03125,-0.1879883,0.0625,-0.1762695
200248,-72.8125,64.8125,-5.6875,-4.133789,-0.2885742,0.09912109,-0.1879883,0.0625,-0.1762695
200250,-66.375,90.4375,-21,-3.950684,-0.331543,0.253418,-0.1879883,0.06542969,-0.1791992
200251,-57.4375,116.3125,-37.0625,-3.759766,-0.2070313,0.5039063,-0.1865234,0.06396484,-0.1791992
200253,-50.1875,136.25,-49.3125,-3.596191,0.01757813,0.7583008,-0.1865234,0.06396484,-0.1791992
200254,-45.8125,152.75,-56.5,-3.432617,0.2890625,1.024414,-0.1826172,0.06542969,-0.1821289
200256,-46.1875,165.875,-56.875,-3.276855,0.6191406,1.317383,-0.1826172,0.06689453,-0.1835938
200257,-52.4375,175.625,-50.6875,-3.136719,0.9140625,1.614258,-0.1826172,0.06689453,-0.1835938
